receive_msg_num, send_msg_num, msg_type, msg_priority, msg_start_time(ts), msg_end_time(ts), msg_trans_time(ns)
2983, 839, c, 2, 1700669967.347133580, 1700669967.374018024,26884444
2984, 832, b, 4, 1700669967.359764196, 1700669967.383844767,24080571
2985, 889, d, 0, 1700669967.377065182, 1700669967.397132874,20067692
2986, 810, a, 6, 1700669967.364663037, 1700669967.410506469,45843432
2987, 840, c, 2, 1700669967.381692277, 1700669967.416692665,35000388
2988, 890, d, 0, 1700669967.411608391, 1700669967.430267643,18659252
2989, 833, b, 4, 1700669967.394147675, 1700669967.445180470,51032795
2990, 841, c, 2, 1700669967.416357683, 1700669967.456611614,40253931
2991, 891, d, 0, 1700669967.446087039, 1700669967.469807378,23720339
2992, 834, b, 4, 1700669967.428863728, 1700669967.480453419,51589691
2993, 842, c, 2, 1700669967.450664179, 1700669967.491658668,40994489
2994, 892, d, 0, 1700669967.480422153, 1700669967.504699219,24277066
2995, 835, b, 4, 1700669967.477322697, 1700669967.516860084,39537387
2996, 893, d, 0, 1700669967.514894785, 1700669967.529733702,14838917
2997, 813, a, 6, 1700669967.490762614, 1700669967.541872373,51109759
2998, 836, b, 4, 1700669967.513348091, 1700669967.554708506,41360415
2999, 894, d, 0, 1700669967.549299775, 1700669967.567877901,18578126
3000, 814, a, 6, 1700669967.539622259, 1700669967.579934741,40312482
3001, 837, b, 4, 1700669967.549589052, 1700669967.591903926,42314874
3002, 895, d, 0, 1700669967.583863877, 1700669967.605680717,21816840
3003, 815, a, 6, 1700669967.576666555, 1700669967.619987486,43320931
3004, 838, b, 4, 1700669967.587475487, 1700669967.628762274,41286787
3005, 896, d, 0, 1700669967.618273578, 1700669967.631550413,13276835
3006, 846, c, 2, 1700669967.601756716, 1700669967.645250705,43493989
3007, 816, a, 6, 1700669967.613421176, 1700669967.654362999,40941823
3008, 897, d, 0, 1700669967.652722791, 1700669967.664659470,11936679
3009, 847, c, 2, 1700669967.639860400, 1700669967.676659541,36799141
3010, 817, a, 6, 1700669967.655110748, 1700669967.679613394,24502646
3011, 840, b, 4, 1700669967.662407819, 1700669967.692484739,30076920
3012, 898, d, 0, 1700669967.687123833, 1700669967.700911052,13787219
3013, 848, c, 2, 1700669967.678372396, 1700669967.714709707,36337311
3014, 818, a, 6, 1700669967.690697387, 1700669967.725350653,34653266
3015, 899, d, 0, 1700669967.721633305, 1700669967.735921255,14287950
3016, 849, c, 2, 1700669967.713107426, 1700669967.750020001,36912575
3017, 819, a, 6, 1700669967.727028808, 1700669967.762569364,35540556
3018, 900, d, 0, 1700669967.756208657, 1700669967.776272772,20064115
3019, 850, c, 2, 1700669967.747614319, 1700669967.787768429,40154110
3020, 820, a, 6, 1700669967.761525476, 1700669967.798582858,37057382
3021, 901, d, 0, 1700669967.790728187, 1700669967.809083862,18355675
3022, 843, b, 4, 1700669967.769959124, 1700669967.819935988,49976864
3023, 851, c, 2, 1700669967.782732117, 1700669967.832371457,49639340
3024, 902, d, 0, 1700669967.825282189, 1700669967.845747751,20465562
3025, 844, b, 4, 1700669967.810038809, 1700669967.859065588,49026779
3026, 852, c, 2, 1700669967.820989665, 1700669967.865951793,44962128
3027, 903, d, 0, 1700669967.859715875, 1700669967.875064342,15348467
3028, 822, a, 6, 1700669967.832445354, 1700669967.888314906,55869552
3029, 845, b, 4, 1700669967.852792600, 1700669967.898004451,45211851
3030, 904, d, 0, 1700669967.894348101, 1700669967.901861297,7513196
3031, 823, a, 6, 1700669967.880490196, 1700669967.912586201,32096005
3032, 854, c, 2, 1700669967.900474705, 1700669967.926065362,25590657
3033, 846, b, 4, 1700669967.891908600, 1700669967.939770317,47861717
3034, 905, d, 0, 1700669967.928892100, 1700669967.953985521,25093421
3035, 824, a, 6, 1700669967.922967038, 1700669967.962752792,39785754
3036, 855, c, 2, 1700669967.935581877, 1700669967.973884741,38302864
3037, 906, d, 0, 1700669967.963562958, 1700669967.986556460,22993502
3038, 825, a, 6, 1700669967.958621687, 1700669967.996512234,37890547
3039, 856, c, 2, 1700669967.970081280, 1700669968.9090217,39008937
3040, 907, d, 0, 1700669967.998079058, 1700669968.22875760,24796702
3041, 857, c, 2, 1700669968.6892689, 1700669968.34133817,27241128
3042, 826, a, 6, 1700669967.998838751, 1700669968.42222472,43383721
3043, 908, d, 0, 1700669968.32588654, 1700669968.55165845,22577191
3044, 849, b, 4, 1700669968.20458100, 1700669968.67317486,46859386
3045, 858, c, 2, 1700669968.41918949, 1700669968.79117919,37198970
3046, 909, d, 0, 1700669968.67353619, 1700669968.91199050,23845431
3047, 850, b, 4, 1700669968.56233016, 1700669968.99559063,43326047
3048, 859, c, 2, 1700669968.76484117, 1700669968.106545022,30060905
3049, 910, d, 0, 1700669968.101800955, 1700669968.111210213,9409258
3050, 828, a, 6, 1700669968.76509535, 1700669968.116608641,40099106
3051, 851, b, 4, 1700669968.99854117, 1700669968.121840638,21986521
3052, 860, c, 2, 1700669968.112006000, 1700669968.128675057,16669057
3053, 829, a, 6, 1700669968.113235825, 1700669968.138922168,25686343
3054, 911, d, 0, 1700669968.136632923, 1700669968.150982223,14349300
3055, 852, b, 4, 1700669968.134365062, 1700669968.163574684,29209622
3056, 861, c, 2, 1700669968.146566624, 1700669968.171765531,25198907
3057, 830, a, 6, 1700669968.150072150, 1700669968.184467476,34395326
3058, 912, d, 0, 1700669968.171110057, 1700669968.195707345,24597288
3059, 853, b, 4, 1700669968.169020984, 1700669968.206412382,37391398
3060, 862, c, 2, 1700669968.181095566, 1700669968.215454719,34359153
3061, 913, d, 0, 1700669968.205539357, 1700669968.227506921,21967564
3062, 854, b, 4, 1700669968.203538241, 1700669968.234514770,30976529
3063, 863, c, 2, 1700669968.215676336, 1700669968.246423170,30746834
3064, 914, d, 0, 1700669968.240044495, 1700669968.258585191,18540696
3065, 832, a, 6, 1700669968.220393570, 1700669968.270611862,50218292
3066, 855, b, 4, 1700669968.239809082, 1700669968.275573340,35764258
3067, 864, c, 2, 1700669968.250108104, 1700669968.282534579,32426475
3068, 915, d, 0, 1700669968.274611438, 1700669968.286973022,12361584
3069, 833, a, 6, 1700669968.261126237, 1700669968.301064879,39938642
3070, 856, b, 4, 1700669968.274421098, 1700669968.313155582,38734484
3071, 916, d, 0, 1700669968.309385245, 1700669968.319807044,10421799
3072, 865, c, 2, 1700669968.284614225, 1700669968.331478051,46863826
3073, 857, b, 4, 1700669968.309106564, 1700669968.352221431,43114867
3074, 917, d, 0, 1700669968.343893469, 1700669968.365120637,21227168
3075, 866, c, 2, 1700669968.319233353, 1700669968.378812457,59579104
3076, 835, a, 6, 1700669968.339153292, 1700669968.387436042,48282750
3077, 918, d, 0, 1700669968.378337694, 1700669968.394962622,16624928
3078, 867, c, 2, 1700669968.364401371, 1700669968.407242505,42841134
3079, 859, b, 4, 1700669968.385391172, 1700669968.419630308,34239136
3080, 919, d, 0, 1700669968.412789519, 1700669968.429319713,16530194
3081, 868, c, 2, 1700669968.411631638, 1700669968.433891806,22260168
3082, 860, b, 4, 1700669968.421071804, 1700669968.444403836,23332032
3083, 837, a, 6, 1700669968.423664051, 1700669968.453010113,29346062
3084, 920, d, 0, 1700669968.447282860, 1700669968.463853763,16570903
3085, 869, c, 2, 1700669968.446179006, 1700669968.475689021,29510015
3086, 861, b, 4, 1700669968.455725442, 1700669968.479044745,23319303
3087, 838, a, 6, 1700669968.467156921, 1700669968.483866544,16709623
3088, 921, d, 0, 1700669968.481758955, 1700669968.487298965,5540010
3089, 870, c, 2, 1700669968.480662762, 1700669968.495965096,15302334
3090, 862, b, 4, 1700669968.490379972, 1700669968.509164702,18784730
3091, 839, a, 6, 1700669968.503735752, 1700669968.519305794,15570042
3092, 922, d, 0, 1700669968.516047458, 1700669968.533145726,17098268
3093, 871, c, 2, 1700669968.515227025, 1700669968.540730568,25503543
3094, 863, b, 4, 1700669968.524987285, 1700669968.552141559,27154274
3095, 840, a, 6, 1700669968.538252502, 1700669968.563587765,25335263
3096, 923, d, 0, 1700669968.550381834, 1700669968.573006567,22624733
3097, 872, c, 2, 1700669968.549624086, 1700669968.587679683,38055597
3098, 924, d, 0, 1700669968.585037703, 1700669968.601687747,16650044
3099, 841, a, 6, 1700669968.573010782, 1700669968.614229786,41219004
3100, 873, c, 2, 1700669968.584114697, 1700669968.620635188,36520491
3101, 865, b, 4, 1700669968.594035799, 1700669968.633060881,39025082
3102, 925, d, 0, 1700669968.620391435, 1700669968.644468712,24077277
3103, 874, c, 2, 1700669968.620162095, 1700669968.653584771,33422676
3104, 866, b, 4, 1700669968.635306015, 1700669968.667030151,31724136
3105, 926, d, 0, 1700669968.655035169, 1700669968.680414755,25379586
3106, 875, c, 2, 1700669968.654876277, 1700669968.693236523,38360246
3107, 927, d, 0, 1700669968.689669986, 1700669968.707299103,17629117
3108, 876, c, 2, 1700669968.689500255, 1700669968.719080878,29580623
3109, 844, a, 6, 1700669968.688720510, 1700669968.732446143,43725633
3110, 928, d, 0, 1700669968.724094050, 1700669968.745764064,21670014
3111, 877, c, 2, 1700669968.726635192, 1700669968.757878821,31243629
3112, 845, a, 6, 1700669968.727475886, 1700669968.770575614,43099728
3113, 929, d, 0, 1700669968.758591540, 1700669968.779612182,21020642
3114, 869, b, 4, 1700669968.740826846, 1700669968.784693999,43867153
3115, 878, c, 2, 1700669968.761107620, 1700669968.788673300,27565680
3116, 846, a, 6, 1700669968.766925207, 1700669968.795661985,28736778
3117, 930, d, 0, 1700669968.793200706, 1700669968.807747793,14547087
3118, 870, b, 4, 1700669968.779895644, 1700669968.821249146,41353502
3119, 879, c, 2, 1700669968.795573351, 1700669968.834928118,39354767
3120, 931, d, 0, 1700669968.827660428, 1700669968.848597315,20936887
3121, 871, b, 4, 1700669968.817941933, 1700669968.858717793,40775860
3122, 880, c, 2, 1700669968.830004959, 1700669968.867021554,37016595
3123, 932, d, 0, 1700669968.862175907, 1700669968.871288586,9112679
3124, 848, a, 6, 1700669968.843235619, 1700669968.884646466,41410847
3125, 872, b, 4, 1700669968.854204391, 1700669968.893196509,38992118
3126, 881, c, 2, 1700669968.867637445, 1700669968.903834841,36197396
3127, 933, d, 0, 1700669968.896662321, 1700669968.915835895,19173574
3128, 849, a, 6, 1700669968.883719907, 1700669968.927959706,44239799
3129, 873, b, 4, 1700669968.891980110, 1700669968.941617609,49637499
3130, 934, d, 0, 1700669968.931277855, 1700669968.956014579,24736724
3131, 850, a, 6, 1700669968.918354118, 1700669968.969888276,51534158
3132, 935, d, 0, 1700669968.965800209, 1700669968.984441913,18641704
3133, 851, a, 6, 1700669968.960680930, 1700669968.998088479,37407549
3134, 884, c, 2, 1700669968.975674663, 1700669969.6571546,30896883
3135, 936, d, 0, 1700669969.374429, 1700669969.19156126,18781697
3136, 875, b, 4, 1700669968.974647431, 1700669969.32529777,57882346
3137, 852, a, 6, 1700669969.3104460, 1700669969.45151228,42046768
3138, 937, d, 0, 1700669969.34876496, 1700669969.52373533,17497037
3139, 885, c, 2, 1700669969.18333349, 1700669969.54700635,36367286
3140, 876, b, 4, 1700669969.18186503, 1700669969.62102522,43916019
3141, 853, a, 6, 1700669969.39021306, 1700669969.73080497,34059191
3142, 938, d, 0, 1700669969.69389592, 1700669969.84504321,15114729
3143, 886, c, 2, 1700669969.52808890, 1700669969.89213878,36404988
3144, 877, b, 4, 1700669969.65493855, 1700669969.92522026,27028171
3145, 887, c, 2, 1700669969.88538504, 1700669969.105770191,17231687
3146, 854, a, 6, 1700669969.79814675, 1700669969.118871525,39056850
3147, 939, d, 0, 1700669969.103780240, 1700669969.125138022,21357782
3148, 878, b, 4, 1700669969.100084279, 1700669969.136398152,36313873
3149, 888, c, 2, 1700669969.122895694, 1700669969.148190760,25295066
3150, 940, d, 0, 1700669969.138370150, 1700669969.157141895,18771745
3151, 879, b, 4, 1700669969.134660481, 1700669969.166085629,31425148
3152, 889, c, 2, 1700669969.157404642, 1700669969.175249234,17844592
3153, 941, d, 0, 1700669969.172835188, 1700669969.187475729,14640541
3154, 856, a, 6, 1700669969.152416902, 1700669969.198539778,46122876
3155, 880, b, 4, 1700669969.169300131, 1700669969.206282581,36982450
3156, 890, c, 2, 1700669969.192322044, 1700669969.211093866,18771822
3157, 942, d, 0, 1700669969.207354253, 1700669969.221398767,14044514
3158, 857, a, 6, 1700669969.193442521, 1700669969.227208751,33766230
3159, 881, b, 4, 1700669969.203768749, 1700669969.233395666,29626917
3160, 891, c, 2, 1700669969.226847336, 1700669969.243339062,16491726
3161, 943, d, 0, 1700669969.241910508, 1700669969.247774365,5863857
3162, 858, a, 6, 1700669969.232036410, 1700669969.255397746,23361336
3163, 882, b, 4, 1700669969.238960101, 1700669969.264072539,25112438
3164, 892, c, 2, 1700669969.261292068, 1700669969.272615211,11323143
3165, 859, a, 6, 1700669969.266828642, 1700669969.285362029,18533387
3166, 944, d, 0, 1700669969.276337048, 1700669969.294250317,17913269
3167, 883, b, 4, 1700669969.273454536, 1700669969.302876809,29422273
3168, 893, c, 2, 1700669969.295815838, 1700669969.308422995,12607157
3169, 860, a, 6, 1700669969.302243057, 1700669969.313146162,10903105
3170, 945, d, 0, 1700669969.310828350, 1700669969.316132163,5303813
3171, 884, b, 4, 1700669969.307790336, 1700669969.324722277,16931941
3172, 894, c, 2, 1700669969.330321184, 1700669969.344802616,14481432
3173, 861, a, 6, 1700669969.336894076, 1700669969.352027227,15133151
3174, 946, d, 0, 1700669969.345193546, 1700669969.361743423,16549877
3175, 885, b, 4, 1700669969.342212273, 1700669969.371768458,29556185
